,country,year,indicator,value
64,South Sudan,1960,Population,2931559
63,South Sudan,1961,Population,2976724
62,South Sudan,1962,Population,3024308
61,South Sudan,1963,Population,3072669
60,South Sudan,1964,Population,3129918
59,South Sudan,1965,Population,3189835
58,South Sudan,1966,Population,3236423
57,South Sudan,1967,Population,3277648
56,South Sudan,1968,Population,3321528
55,South Sudan,1969,Population,3365533
54,South Sudan,1970,Population,3409614
53,South Sudan,1971,Population,3468646
52,South Sudan,1972,Population,3542497
51,South Sudan,1973,Population,3627383
50,South Sudan,1974,Population,3723259
49,South Sudan,1975,Population,3821494
48,South Sudan,1976,Population,3921910
47,South Sudan,1977,Population,4024032
46,South Sudan,1978,Population,4127657
45,South Sudan,1979,Population,4232605
44,South Sudan,1980,Population,4339030
43,South Sudan,1981,Population,4447272
42,South Sudan,1982,Population,4557686
41,South Sudan,1983,Population,4661574
40,South Sudan,1984,Population,4750627
39,South Sudan,1985,Population,4834296
38,South Sudan,1986,Population,4921240
37,South Sudan,1987,Population,4962395
36,South Sudan,1988,Population,4848029
35,South Sudan,1989,Population,4713229
34,South Sudan,1990,Population,4737633
33,South Sudan,1991,Population,4836677
32,South Sudan,1992,Population,4909749
31,South Sudan,1993,Population,4956002
30,South Sudan,1994,Population,5071184
29,South Sudan,1995,Population,5225836
28,South Sudan,1996,Population,5356925
27,South Sudan,1997,Population,5509136
26,South Sudan,1998,Population,5620068
25,South Sudan,1999,Population,5771628
24,South Sudan,2000,Population,6032267
23,South Sudan,2001,Population,6308391
22,South Sudan,2002,Population,6596806
21,South Sudan,2003,Population,6903127
20,South Sudan,2004,Population,7233041
19,South Sudan,2005,Population,7590143
18,South Sudan,2006,Population,7976526
17,South Sudan,2007,Population,8388788
16,South Sudan,2008,Population,8817647
15,South Sudan,2009,Population,9243556
14,South Sudan,2010,Population,9745953
13,South Sudan,2011,Population,10288109
12,South Sudan,2012,Population,10756240
11,South Sudan,2013,Population,11166275
10,South Sudan,2014,Population,11235073
9,South Sudan,2015,Population,11107561
8,South Sudan,2016,Population,10830102
7,South Sudan,2017,Population,10259154
6,South Sudan,2018,Population,10122977
5,South Sudan,2019,Population,10423384
4,South Sudan,2020,Population,10698467
3,South Sudan,2021,Population,10865780
2,South Sudan,2022,Population,11021177
1,South Sudan,2023,Population,11483374
0,South Sudan,2024,Population,11943408
