Keyword,Total_Views,Avg_Views,Total_Likes,Avg_Likes,Total_Comments,Avg_Comments,Avg_Engagement_Rate,Avg_Like_Rate,Avg_Comment_Rate,Video_Count,Engagement_Score
crypto,20230411.0,404608.22,426068.0,8521.36,27331.0,546.62,8.8,7.07,1.72,50,6.157
reaction,31158623.0,623172.46,3697989.0,73959.78,162336.0,3246.72,7.56,6.87,0.7,50,5.295
gaming,22344756.0,519645.49,1070583.0,24897.28,59207.0,1376.91,6.96,6.52,0.45,43,4.875
asmr,85330791.0,1706615.82,1830765.0,36615.3,61365.0,1227.3,5.55,5.14,0.41,50,3.885
trolling,71007051.0,1420141.02,3069352.0,61387.04,152841.0,3056.82,5.3,4.89,0.41,50,3.7099999999999995
game development,36234427.0,724688.54,1308934.0,26178.68,68817.0,1376.34,5.26,4.86,0.4,50,3.6820000000000004
nintendo,79922028.0,1665042.25,2139530.0,44573.54,177347.0,3694.73,5.26,4.67,0.59,48,3.682
minecraft,90638537.0,1812770.74,3058978.0,61179.56,142186.0,2843.72,5.18,4.96,0.22,50,3.626
xbox,83495065.0,1703980.92,1902183.0,38820.06,140651.0,2870.43,4.97,4.16,0.81,49,3.4789999999999996
marvel,330703978.0,6614079.56,10518961.0,210379.22,485034.0,9700.68,4.12,3.87,0.25,50,2.8840000000000003
sat,52227567.0,1065868.71,1520509.0,31030.8,99347.0,2027.49,4.04,3.71,0.32,49,2.825
education,64426388.0,2684432.83,1495016.0,62292.33,98723.0,4113.46,3.98,3.44,0.54,24,2.786
apple,451371079.0,10746930.45,4959314.0,118078.9,361992.0,8618.86,3.94,3.48,0.45,42,2.755
data science,27238599.0,544771.98,858789.0,17175.78,25876.0,517.52,3.89,3.7,0.19,50,2.7230000000000003
computer science,57214018.0,1191958.71,1615850.0,33663.54,56197.0,1170.77,3.88,3.68,0.19,48,2.713
chess,62194816.0,1323293.96,1693992.0,36042.38,69199.0,1472.32,3.71,3.43,0.28,47,2.597
tech,92102733.0,1918806.94,2905652.0,60534.42,151304.0,3152.17,3.66,3.38,0.27,48,2.559
mrbeast,3338200199.0,66764003.98,105295718.0,2105914.36,4797224.0,95944.48,3.6,3.45,0.15,50,2.52
how-to,374845676.0,7809284.92,7627111.0,158898.15,333669.0,6951.44,3.59,3.39,0.2,48,2.513
tutorial,338051601.0,6761032.02,8386044.0,167720.88,396770.0,7935.4,3.4,3.26,0.15,50,2.383
music,1350785090.0,29364893.26,14452653.0,314188.11,565291.0,12288.93,3.39,3.22,0.17,46,2.373
business,347345017.0,7236354.52,3455287.0,71985.15,88339.0,1840.4,3.23,2.89,0.35,48,2.264
mukbang,490714756.0,10904772.36,6363300.0,141406.67,335312.0,7451.38,3.21,2.82,0.39,45,2.247
cnn,27712019.0,554240.38,441787.0,8835.74,378737.0,7574.74,3.11,1.61,1.5,50,2.1769999999999996
interview,148305593.0,2966111.86,3666347.0,73326.94,271412.0,5428.24,2.97,2.7,0.27,50,2.079
cubes,751936967.0,15038739.34,15153060.0,303061.2,341654.0,6833.08,2.96,2.88,0.08,50,2.072
history,752356506.0,15047130.12,13670533.0,273410.66,1009501.0,20190.02,2.9,2.64,0.25,50,2.027
physics,184619364.0,3692387.28,4935045.0,98700.9,222060.0,4441.2,2.85,2.68,0.17,50,1.995
mathchemistry,49921879.0,3328125.27,1407730.0,93848.67,80532.0,5368.8,2.84,2.25,0.59,15,1.988
literature,39698977.0,863021.24,819969.0,17825.41,40473.0,879.85,2.84,2.71,0.13,46,1.9879999999999998
machine learning,63004908.0,1260098.16,1693347.0,33866.94,59301.0,1186.02,2.71,2.6,0.11,50,1.897
lofi,163588861.0,3989972.22,3010876.0,73436.0,98397.0,2399.93,2.71,2.64,0.06,41,1.8940000000000001
food,252115500.0,5252406.25,4560703.0,95014.65,265114.0,5523.21,2.66,2.53,0.14,48,1.865
google,4651423680.0,103364970.67,21202538.0,471167.51,1019079.0,22646.2,2.62,2.4,0.23,45,1.837
biology,193715474.0,4121605.83,3124738.0,66483.79,201745.0,4292.45,2.59,2.46,0.13,47,1.813
finance,27074714.0,694223.44,516184.0,13235.49,42277.0,1084.03,2.27,1.85,0.42,39,1.589
news,9652195.0,247492.18,117511.0,3013.1,46154.0,1183.44,2.0,1.18,0.82,39,1.4
bed,2371302059.0,53893228.61,20842016.0,473682.18,667962.0,15180.95,1.58,1.51,0.07,44,1.1059999999999999
movies,215488638.0,4788636.4,1384798.0,30773.29,155744.0,3460.98,1.4,1.25,0.15,45,0.98
sports,421459032.0,8601204.73,4435425.0,90518.88,187573.0,3828.02,1.32,1.22,0.1,49,0.924
animals,3599510515.0,94723960.92,28909480.0,760775.79,831129.0,21871.82,1.05,1.01,0.04,38,0.7350000000000001
