Keyword,Video_Count,Weighted_Avg_Views,Weighted_Avg_Engagement,Latest_Video_Date,Baseline_Avg_Views,Baseline_Avg_Engagement,Views_Momentum_Ratio,Engagement_Momentum_Ratio,Momentum_Score
movies,45,7175900.353729673,1.4039993622852704,2022-08-24,4788636.4,1.3977371099546045,1.4985268778664573,1.0044802790782805,1.3256105682905954
game development,50,799185.8941598131,4.951333499107331,2022-08-22,724688.54,5.257323762736913,1.102799133762779,0.9417973331225302,1.046448503538692
reaction,50,629548.0373887827,7.567454596765665,2022-08-24,623172.46,7.564944002220653,1.010230839451382,1.0003318721915555,1.0067662009104428
news,39,236764.03331346376,2.025458479912476,2022-08-24,247492.1794871795,2.0000751915310797,0.95665258516069,1.012691167056557,0.9762660888242435
cnn,50,520019.74794685794,3.1550531506580985,2022-08-24,554240.38,3.107850890307412,0.9382566963938245,1.0151880711194667,0.9651826775477993
literature,46,60223.245735860066,6.929272759277231,2022-03-01,863021.2391304348,2.8394526048827835,0.06978188137819176,2.4403551400581596,0.8994825219161805
data science,50,424253.8003488177,3.4202649220453893,2022-08-24,544771.98,3.8875961097789586,0.7787731673512609,0.8797891615957655,0.8141287653368375
education,24,52650.11417847684,8.541644284778224,2022-08-24,2684432.8333333335,3.981201055029354,0.01961312405537067,2.1454943286493338,0.7636715456632577
gaming,43,296915.10338513175,7.313740957556905,2022-08-24,519645.488372093,6.964528195903346,0.5713801236209813,1.0501416250793518,0.738946649131411
tech,48,949060.7522593018,4.242275884950788,2022-08-24,1918806.9375,3.6565825495373527,0.49460981910760987,1.1601750616808963,0.7275576540082601
cubes,50,1447180.7402453194,5.609081299384875,2022-08-24,15038739.34,2.961670518638744,0.09623018974709614,1.8938910537431912,0.7254114921457294
biology,47,532499.6247222588,4.664857856226928,2022-07-30,4121605.829787234,2.586421605532729,0.12919712527428842,1.8035953018054458,0.7152364870601935
marvel,50,2179589.609739446,5.3081775754425795,2022-08-24,6614079.56,4.124514623772338,0.32953785783300227,1.2869823626877208,0.6646434345321537
computer science,48,129380.32190852087,6.530261736290742,2022-08-12,1191958.7083333333,3.8790674250822055,0.1085442985599963,1.6834617759067056,0.6597654156313446
machine learning,50,271249.86434242106,3.9056120197192716,2022-05-28,1260098.16,2.7074116735101357,0.21526090026385014,1.4425630420126243,0.6448166498759211
tutorial,50,1276023.5930661436,5.0252383545777075,2022-08-23,6761032.02,3.401571418501265,0.18873207363779704,1.4773284862535185,0.6397408180532995
minecraft,50,698657.2811300913,5.435810309642313,2022-08-24,1812770.74,5.180133179718266,0.38540851620877953,1.0493572502971733,0.6177905731397173
mrbeast,50,14318912.990398625,4.883296789473621,2022-08-24,66764003.98,3.6004903886689283,0.21447055504172632,1.3562865783066111,0.614106163184436
google,45,411156.1506715405,4.3916638046776315,2022-08-24,103364970.66666667,2.6246248565119306,0.003977712643071749,1.673253910470869,0.5882243818828007
food,48,1126468.7248670275,3.404226430062814,2022-08-24,5252406.25,2.662673494345199,0.21446717394851691,1.2784993869103642,0.5868784484851635
lofi,41,65308.689701105846,4.311055447533927,2022-08-24,3989972.2195121953,2.7050560922290763,0.016368206621020117,1.5937027923075124,0.5684353116112923
nintendo,48,329634.52739373455,6.379658035267357,2022-08-24,1665042.25,5.260850048961574,0.19797367147514397,1.2126667697982805,0.5531162558882418
interview,50,679973.7044947289,3.305327674374844,2022-08-24,2966111.86,2.9692912788557875,0.22924749186456136,1.1131705730293149,0.5386205702722251
how-to,48,836833.4829661896,4.754519445446688,2022-08-24,7809284.916666667,3.592016423090582,0.10715878494588024,1.3236352191719338,0.532925536924999
history,50,197395.5750667362,4.330799184871933,2022-08-24,15047130.12,2.8954259536848115,0.013118486614558247,1.495738193325379,0.5320353839633455
bed,44,648768.7515592709,2.3372834972885435,2022-08-24,53893228.61363637,1.578954569632446,0.012038038325933878,1.4802727971031007,0.5259202038979423
business,48,232231.03064079766,4.5962189673394604,2022-08-24,7236354.520833333,3.231686318978643,0.032092268278483146,1.4222354875061236,0.5186423950081572
animals,38,351203.1857806333,1.5012074406967435,2022-08-24,94723960.92105263,1.0481282162280081,0.0037076488606018324,1.4322746181753143,0.5037060881207511
xbox,49,91717.75350626375,6.644235176461172,2022-08-24,1703980.918367347,4.9687980157463825,0.053825575461339224,1.337191641802553,0.503003698680764
mukbang,45,407684.6107639138,4.304051630033728,2022-08-24,10904772.355555555,3.21243234626615,0.03738588917504678,1.3398108243544429,0.4932346164878354
sat,49,18918.028122096996,5.418306851184417,2022-08-24,1065868.7142857143,4.0369251184759625,0.01774892898960338,1.3421866128718185,0.4813021183483786
chess,47,157479.99637383333,4.218705419607189,2022-08-24,1323293.9574468085,3.709409242208469,0.11900605718602282,1.1372984602517193,0.47540839825901654
asmr,50,197362.725509961,6.2897459430491125,2022-08-24,1706615.82,5.551703033346345,0.11564566740624788,1.132939911459548,0.4716986528249029
sports,49,707542.1290141799,1.5745808657020428,2022-08-24,8601204.734693877,1.3195417980681823,0.08226081704115625,1.1932785062263578,0.47111700825597674
trolling,50,148803.85205998068,6.096398202585972,2022-08-24,1420141.02,5.300860534808378,0.10478103932240523,1.1500770794767479,0.4706346533764252
music,46,1206321.758976256,4.229618072562013,2022-08-24,29364893.260869566,3.3856210643085833,0.041080406738060585,1.2492886806355548,0.46395330260218354
physics,50,348168.30936718243,3.1986807195725464,2022-08-24,3692387.28,2.846452412275791,0.0942935512894472,1.1237429109222812,0.4546008271609391
crypto,50,44463.49805574906,9.08533206082436,2022-08-24,404608.22,8.798945303655827,0.10989272055755335,1.0325478505985874,0.4328220160719153
finance,39,79333.3511387845,2.2505121052125032,2022-08-24,694223.4358974359,2.2736898723921612,0.11427639436607145,0.989806100004627,0.4207117913395658
apple,42,203573.56902785212,4.369673802211795,2022-08-24,10746930.452380951,3.9367608662274884,0.01894248501280205,1.109966785053713,0.40080099002712083
mathchemistry,15,64368.00003756461,3.0620329654228144,2022-05-03,3328125.2666666666,2.842258872000359,0.019340618179926064,1.077323742600469,0.38963471172711606
