Keyword,Total_Views,Avg_Views_Per_Video,Std_Views,Total_Likes,Avg_Likes,Total_Comments,Avg_Comments,Video_Count,Avg_Engagement_Rate,Growth_Score
google,4651423680.0,103364970.67,600572463.61,21202537.0,471167.49,1019079.0,22646.2,45,2.62,1867134310.8999999
animals,3599510515.0,94723960.92,289029182.36,28909480.0,760775.79,831129.0,21871.82,38,1.05,1448643380.8
mrbeast,3338200199.0,66764003.98,61839499.35,105295718.0,2105914.36,4797224.0,95944.48,50,3.6,1367828599.8000002
bed,2371302059.0,53893228.61,107986333.94,20842016.0,473682.18,667962.0,15180.95,44,1.58,954907178.8
music,1350785090.0,29364893.26,138737057.31,14452653.0,314188.11,565291.0,12288.93,46,3.39,544763229.1
cubes,751936967.0,15038739.34,28955261.32,15153060.0,303061.2,341654.0,6833.08,50,2.96,305389331.6
history,752356506.0,15047130.12,64583954.23,13670533.0,273410.66,1009501.0,20190.02,50,2.9,305245952.5
mukbang,490714756.0,10904772.36,23634875.16,6363299.0,141406.64,335312.0,7451.38,45,3.21,198262275.5
apple,451371079.0,10746930.45,65573836.07,4959314.0,118078.9,361992.0,8618.86,42,3.94,182109018.20000002
sports,421459032.0,8601204.73,17600318.25,4435425.0,90518.88,187573.0,3828.02,49,1.32,169951886.9
how-to,374845676.0,7809284.92,13326190.37,7627111.0,158898.15,333669.0,6951.44,48,3.59,152293496.50000003
business,347345017.0,7236354.52,30897484.76,3455285.0,71985.1,88339.0,1840.4,48,3.23,139992583.10000002
tutorial,338051601.0,6761032.02,11703104.7,8386044.0,167720.88,396770.0,7935.4,50,3.4,137816147.6
marvel,330703978.0,6614079.56,12001111.64,10518960.0,210379.2,485034.0,9700.68,50,4.12,135534698.0
food,252115500.0,5252406.25,8559424.12,4560703.0,95014.65,265114.0,5523.21,48,2.66,102267699.7
movies,215488638.0,4788636.4,12185489.18,1384796.0,30773.24,155742.0,3460.93,45,1.4,86642182.4
biology,193715474.0,4121605.83,5088295.04,3124738.0,66483.79,201745.0,4292.45,47,2.59,78464219.00000001
physics,184619364.0,3692387.28,6885789.48,4935045.0,98700.9,222060.0,4441.2,50,2.85,75372956.10000001
lofi,163588861.0,3989972.22,13431696.08,3010876.0,73436.0,98397.0,2399.93,41,2.71,66358757.6
interview,148305593.0,2966111.86,4265232.7,3666347.0,73326.94,271412.0,5428.24,50,2.97,60476720.7
tech,92102733.0,1918806.94,2543579.46,2905652.0,60534.42,151304.0,3152.17,48,3.66,37743415.6
minecraft,90638537.0,1812770.74,4841982.47,3058978.0,61179.56,142186.0,2843.72,50,5.18,37202063.400000006
asmr,85330791.0,1706615.82,5858176.22,1830765.0,36615.3,61365.0,1227.3,50,5.55,34694373.9
xbox,83495065.0,1703980.92,4253921.92,1902183.0,38820.06,140651.0,2870.43,49,4.97,33997308.1
nintendo,79922028.0,1665042.25,4746718.84,2139530.0,44573.54,177347.0,3694.73,48,5.26,32646665.6
trolling,71007051.0,1420141.02,2632992.93,3069352.0,61387.04,152841.0,3056.82,50,5.3,29354724.200000003
education,64426388.0,2684432.83,4282023.18,1495016.0,62292.33,98723.0,4113.46,24,3.98,26239202.600000005
machine learning,63004908.0,1260098.16,2438555.54,1693347.0,33866.94,59301.0,1186.02,50,2.71,25722098.500000004
chess,62194816.0,1323293.96,2528216.06,1693992.0,36042.38,69199.0,1472.32,47,3.71,25400334.800000004
computer science,57214018.0,1191958.71,1676961.14,1615850.0,33663.54,56197.0,1170.77,48,3.88,23381989.6
sat,52227567.0,1065868.71,2878384.09,1520509.0,31030.8,99347.0,2027.49,49,4.04,21367452.9
mathchemistry,49921879.0,3328125.27,4991459.77,1407730.0,93848.67,80532.0,5368.8,15,2.84,20407461.0
literature,39698977.0,863021.24,968530.94,819969.0,17825.41,40473.0,879.85,46,2.84,16133960.1
game development,36234427.0,724688.54,1130043.46,1308934.0,26178.68,68817.0,1376.34,50,5.26,14900740.4
reaction,31158623.0,623172.46,3363591.38,3697989.0,73959.78,162336.0,3246.72,50,7.56,13606069.1
cnn,27712019.0,554240.38,395401.52,441787.0,8835.74,378737.0,7574.74,50,3.11,11293402.100000001
data science,27238599.0,544771.98,740225.41,858789.0,17175.78,25876.0,517.52,50,3.89,11158640.5
finance,27074714.0,694223.44,1817823.75,516184.0,13235.49,42277.0,1084.03,39,2.27,10993423.200000001
gaming,22344756.0,519645.49,1269094.38,1070583.0,24897.28,59207.0,1376.91,43,6.96,9271614.700000001
crypto,20230411.0,404608.22,1874484.36,426068.0,8521.36,27331.0,546.62,50,8.8,8226331.000000001
news,9652195.0,247492.18,326728.11,117511.0,3013.1,46154.0,1183.44,39,2.0,3905562.0999999996
